libvncserver 0.9.14-2
libvorbis 1.3.7-3
libvpl 2.10.2-1
libvpx 1.14.0-1
libvterm 0.3.3-1
libwacom 2.10.0-1
libwbclient 4.19.5-1
libwebp 1.3.2-1
libwireplumber 0.4.17-1
libwnck3 43.0-3
libwpe 1.14.2-1
libx11 1.8.7-1
libxau 1.0.11-2
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.4-2
libxext 1.3.6-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.6.0-1
libxkbcommon-x11 1.6.0-1
libxkbfile 1.1.3-1
libxml2 2.12.5-1
libxmlb 0.3.15-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
licenses 20240206-1
lilv 0.24.24-1
linux 6.7.6.arch1-1
linux-api-headers 6.7-1
linux-firmware 20240220.97b693d2-1
linux-firmware-whence 20240220.97b693d2-1
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.32-1
loupe 45.3-1
lua 5.4.6-3
luajit 2.1.1702233742-1
lv2 1.18.10-1
lvm2 2.03.23-1
lz4 1:1.9.4-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
malcontent 0.11.1-4
md4c 0.5.2-1
mdadm 4.2-2
mesa 1:24.0.1-1
meson 1.3.2-1
mingw-w64-binutils 2.39-1
mingw-w64-crt 11.0.0-1
mingw-w64-gcc 13.1.0-1
mingw-w64-headers 11.0.0-1
mingw-w64-winpthreads 11.0.0-1
minizip 1:1.3.1-1
mjpegtools 2.2.1-2
mkinitcpio 37.3-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mod_dnssd 0.6-9
mpfr 4.2.1-2
mpg123 1.32.5-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mutter 45.4-1
nano 7.2-1
nautilus 45.2.1-1
ncurses 6.4_20230520-1
neofetch 7.1.0-2
neon 0.33.0-1
neovim 0.9.5-2
net-snmp 5.9.2-2
nettle 3.9.1-1
networkmanager 1.46.0-2
nginx-mainline 1.25.4-1
ninja 1.11.1-3
nodejs 21.6.2-1
noto-fonts 1:24.2.1-1
noto-fonts-cjk 20230817-1
noto-fonts-emoji 1:2.042-1
npth 1.7-1
nspr 4.35-2
nss 3.98-1
numactl 2.0.18-1
ocl-icd 2.3.2-1
openal 1.23.1-1
opencl-headers 2:2023.04.17-2
opencore-amr 0.1.6-1
openexr 3.2.2-1
openjpeg2 2.5.0-3
openmpi 5.0.2-6
openpmix 4.2.9-1
openssh 9.6p1-3
openssl 3.2.1-1
openucx 1.15.0-2
openvpn 2.6.9-1
opus 1.4-1
orc 0.4.37-1
orca 45.2-1
osinfo-db 20231215-1
ostree 2024.4-1
p11-kit 0.25.3-1
pacman 6.0.2-9
pacman-contrib 1.10.4-1
pacman-mirrorlist 20231001-1
pam 1.6.0-4
pambase 20230918-1
pango 1:1.51.2-1
pangomm 2.46.4-1
parted 3.6-1
patch 2.7.6-10
pciutils 3.11.1-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
pinentry 1.2.1-3
pipewire 1:1.0.3-1
pipewire-audio 1:1.0.3-1
pipewire-pulse 1:1.0.3-1
pipewire-session-manager 1:1.0.3-1
pixman 0.43.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.1.0-2
polkit 124-2
poppler 24.01.0-1
poppler-data 0.4.12-1
poppler-glib 24.01.0-1
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.4-2
protobuf 25.2-1
prrte 3.0.4-3
psmisc 23.6-1
pugixml 1.14-1
pulse-native-provider 1:1.0.3-1
pybind11 2.11.1-2
python 3.11.7-1
python-annotated-types 0.6.0-1
python-atspi 2.46.1-1
python-autocommand 2.2.2-4
python-beautifulsoup4 4.12.2-1
python-cairo 1.26.0-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.2-1
python-cssselect 1.2.0-3
python-dateutil 2.8.2-6
python-docutils 1:0.20.1-1
python-fastjsonschema 2.19.1-1
python-gobject 3.46.0-1
python-html5lib 1.1-13
python-humanize 4.9.0-1
python-idna 3.6-1
python-inflect 7.0.0-3
python-jaraco.context 4.3.0-3
python-jaraco.functools 4.0.0-1
python-jaraco.text 3.12.0-1
python-lxml 4.9.2-3
python-magic 1:0.4.27-3
python-mako 1.3.2-1
python-markdown 3.5.2-1
python-markupsafe 2.1.4-1
python-more-itertools 10.1.0-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pillow 10.2.0-2
python-platformdirs 4.1.0-1
python-pydantic 2.6.3-1
python-pydantic-core 1:2.16.3-1
python-pygments 2.17.2-1
python-pytz 2024.1-1
python-pyxdg 0.28-2
python-readability-lxml 0.8.1-7
python-requests 2.31.0-1
python-setproctitle 1.3.3-1
python-setuptools 1:69.0.3-4
python-six 1.16.0-8
python-soupsieve 2.5-1
python-syndom-git 1.0.r2.gca0ea3b-1
python-syndom-git-debug 1.0.r2.gca0ea3b-1
python-tomli 2.0.1-3
python-tqdm 4.66.2-1
python-trove-classifiers 2024.2.22-1
python-typing_extensions 4.10.0-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
python-webencodings 0.5.1-10
qrencode 4.1.1-2
qt5-base 5.15.12+kde+r151-1
qt5-declarative 5.15.12+kde+r32-1
qt5-location 5.15.12+kde+r6-1
qt5-remoteobjects 5.15.12-1
qt5-translations 5.15.12-1
qt5-webchannel 5.15.12+kde+r3-1
qt5-webengine 5.15.16-3
raptor 2.0.16-4
rav1e 0.7.1-1
re2 1:20240201-1
readline 8.2.010-1
rhash 1.4.4-1
ripgrep 14.1.0-1
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
runc 1.1.12-1
rygel 1:0.42.5-1
samba 4.19.5-1
sane 1.3.0-1
sbc 2.0-1
sdl2 2.30.0-1
sed 4.9-3
sequoia-sqv 1.1.0-1
serd 0.32.2-1
shaderc 2023.8-1
shadow 4.14.5-1
shared-mime-info 2.4-1
simple-scan 44.0-2
slang 2.3.3-2
smartmontools 7.4-1
smbclient 4.19.5-1
snapd 2.61.1-1
snappy 1.1.10-1
snapshot 45.2-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speech-dispatcher 0.11.5-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.6-1
spotify-launcher 0.5.4-1
sqlite 3.45.1-1
squashfs-tools 4.6.1-1
sratom 0.6.16-1
srt 1.5.3-1
startup-notification 0.12-8
sudo 1.9.15.p5-1
sushi 45.0-1
svt-av1 1.8.0-1
svt-hevc 1.5.1-2
systemd 255.4-1
systemd-libs 255.4-1
systemd-sysvcompat 255.4-1
tabbed 0.7-3
tabbed-debug 0.7-3
taglib 2.0-1
talloc 2.4.1-1
tar 1.35-2
tdb 1.4.9-1
tecla 45.0-1
tevent 1:0.15.0-1
texinfo 7.1-2
thin-provisioning-tools 1.0.12-1
tidy 5.8.0-2
totem 43.0-2
totem-pl-parser 3.26.6-2
tpm2-tss 4.0.1-1
tracker3 3.6.0-3
tracker3-miners 3.6.2-2
tree-sitter 0.20.10-2
tslib 1.23-1
twolame 0.4.0-3
tzdata 2024a-1
udisks2 2.10.1-3
ufw 0.36.2-2
unibilium 2.1.1-1
unixodbc 2.3.12-1
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vapoursynth R65-1
vid.stab 1.1.1-1
vim 9.1.0080-1
vim-runtime 9.1.0080-1
vmaf 3.0.0-1
volume_key 0.3.12-8
vte-common 0.74.2-1
vte4 0.74.2-1
vulkan-headers 1:1.3.276-1
vulkan-icd-loader 1.3.276-1
wavpack 5.6.0-1
wayland 1.22.0-1
webkit2gtk-4.1 2.42.5-2
webkitgtk-6.0 2.42.5-2
webrtc-audio-processing 0.3.1-4
webrtc-audio-processing-1 1.3-2
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
wine 9.3-1
wireless_tools 30.pre9-3
wireplumber 0.4.17-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xclip 0.13-4
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.2-1
xdg-desktop-portal-gnome 45.1-1
xdg-desktop-portal-gtk 1.15.1-1
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-1
xfsprogs 6.6.0-1
xkeyboard-config 2.41-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.11-1
xorg-server-common 21.1.11-1
xorg-setxkbmap 1.3.4-1
xorg-xhost 1.0.9-1
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.7-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.2.4-2
xorgproto 2023.2-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.6.0-1
yay 12.2.0-1
yay-debug 12.2.0-1
yelp 42.2-2
yelp-xsl 42.1-1
zbar 0.23.90-3
zenity 4.0.1-1
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.4.2-2
zlib 1:1.3.1-1
zoom 5.17.10-1
zram-generator 1.1.2-1
zsh 5.9-4
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
